id	tier	scope	regex	threshold	unit	action	source_ref	notes
wp-collabcomm-leakage	BANNED	narration	\bI hope this helps\b|\bOf course!|\bCertainly!|\bYou['’]re absolutely right\b|\bWould you like\b|\bis there anything else\b|\blet me know\b|\bmore detailed breakdown\b|\bhere is a\b			Delete assistant-chat leakage; rewrite the passage as in-story prose	wikipedia:WP:COLLABCOMM	Chat correspondence pasted as content; may appear inside comments; chatbot advice given this way is often wrong. Scoped to narration: characters may legitimately say Of course!/Certainly!/let me know in dialogue; 'here is a' can occur innocently - review hits before rewriting.
wp-aicutoff-disclaimers	BANNED	both	\bas of my last knowledge update\b|\bup to my last training update\b|\bmy (last )?(knowledge|training) (cutoff|update)\b|\bin the (provided|available) (sources|search results)\b|\bbased on available information\b			Delete the disclaimer; replace with concrete story fact or cut entirely	wikipedia:WP:AICUTOFF	Knowledge-cutoff/RAG-failure disclaimers; older fixed-cutoff models (GPT-3.5/4) emit these verbatim. Plain 'as of [date]' alone is NOT flagged here (legitimate usage exists); only model-self-reference and source-availability framings.
wp-aicutoff-source-gap-speculation	BANNED	narration	\bwhile specific (details|information)( about [^,.;]{0,60})? (is|are|remains?) (limited|scarce)\b|\bnot widely (available|documented|disclosed)\b|\bmaintains? a low profile\b|\bkeeps? (his |her |their )?personal (details|life) private\b			Cut the speculation; invent or research the concrete detail instead	wikipedia:WP:AIDISCLAIMER	Source-gap hedges: the model claims information is undocumented then speculates; the 'low profile'/'keeps personal details private' claims are themselves speculative and often fabricated. In fiction these signal the model writing around a gap instead of inventing scene detail.
wp-template-placeholders	BANNED	document	\[Your Name\]|\[Describe[^\]]*\]|\[(Insert|Add|Link to|Entertainer['’]s Name)[^\]]*\]|20[0-9]{2}-(XX|xx)-(XX|xx)|PASTE_[A-Z_]*_?HERE|PASTE_[A-Z_]+|INSERT_[A-Z_]+|\bAdd if available with citation\b			Fill or delete the placeholder; never commit Mad-Libs blanks	wikipedia:Phrasal templates and placeholder text	Unfilled phrasal-template blanks, placeholder dates (2025-XX-XX) and PASTE_/INSERT_ tokens. Caveat: comments in infoboxes are common (some templates auto-include them) and NOT an AI sign; only the specific 'Add ____ if available' wording is suspect - anything else is more likely human. Non-LLM preload templates also exist.
wp-aiattr-social-media-presence	BANNED	both	\b(maintains?|maintained|maintaining) an? (active|strong) (social media|digital|online) presence\b|\bactive social media presence\b|\bstrong digital presence\b			Cut the canned presence claim; show the character actually using the platform	wikipedia:WP:OVERATTRIBUTION	This exact wording is idiosyncratically AI and relatively uncommon before ~2024; banned because fiction has no reason to produce it except essay drift.
wp-aiattr-notability-coverage	WATCH	narration	\bindependent coverage\b|\bmedia outlets?\b|\b(music|business|tech|trade) (outlets?|publications?)\b|\bprofiled in\b|\bwritten by a leading expert\b			Remove resume-style coverage claims; dramatize reputation through scene	wikipedia:WP:OVERATTRIBUTION	Canned notability-proving phrases echoing Wikipedia guideline wording (e.g. 'independent coverage'); more common in 2025+ AI tools; human press releases also cite clippings, so judge in context. In fiction these mark encyclopedic register drift.
wp-ailegacy-significance-puffery	WATCH	narration	\b(stands|serves) as\b|\bis a (testament|reminder)\b|\ba (vital|significant|crucial|pivotal|key) (role|moment)\b|\b(underscores?|highlights?) (its|the|their) (importance|significance)\b|\breflects? broader\b|\bsymboliz(es|ing) (its )?(ongoing|enduring|lasting)\b|\bcontributing to the\b|\bsetting the stage for\b|\b(marking|shaping) the\b|\b(represents|marks) a shift\b|\bkey turning point\b|\bevolving landscape\b|\bfocal point\b|\bindelible mark\b|\bdeeply rooted\b			Cut the significance claim; replace with one specific concrete fact	wikipedia:WP:AILEGACY	Puffs up importance of arbitrary aspects and ties them to broader trends (WP:AITREND), even for mundane subjects; may add hedging preambles before discussing importance anyway; in biology over-emphasizes ecosystem links and conservation status even when unknown. Distinct identifiable repertoire of stock framings.
wp-superficial-analysis-participles	WATCH	narration	,\s+(highlighting|underscoring|emphasizing|ensuring|reflecting|symbolizing|contributing to|cultivating|fostering|encompassing)\b|\bvaluable insights\b|\b(aligns?|aligning|resonates?|resonating) with\b			Delete the trailing -ing analysis clause; end the sentence at the fact	wikipedia:WP:SUPERFICIAL	Superficial analysis bolted on as a sentence-final present-participle phrase about significance/recognition/impact; RAG chatbots may attach these claims to named sources regardless of what the sources say. The judgment call (is the analysis vacuous?) is left to the reviewer; this row only counts the syntactic frame.
wp-aipuffery-promotional	WATCH	narration	\bboasts? a\b|\bvibrant\b|\brich\b|\bprofound\b|\benhancing\b|\bshowcasing\b|\bexemplifies\b|\bcommitment to\b|\bnatural beauty\b|\bnestled\b|\bin the heart of\b|\bgroundbreaking\b|\brenowned\b|\bfeaturing\b|\bdiverse array\b			Strip travel-brochure tone; restate neutrally with specifics	wikipedia:WP:AIPUFFERY	Advertisement/travel-guide register; same stock phrases regardless of topic. Caveats: not all promotional writing is AI; older LLMs (GPT-4) are blatantly positive while newer ones are subtler and avoid superlatives like 'the best'; 'rich' and 'vibrant' are common English words - weigh density not single hits.
wp-aiweasel-vague-attribution	WATCH	narration	\bindustry reports\b|\bobservers have (cited|noted)\b|\bexperts (argue|say|believe)\b|\bsome critics argue\b|\bseveral (sources|publications)\b|\bsuch as\b			Name the actual source or cut the attribution; ground opinion in a character	wikipedia:WP:AIWEASEL	Weasel-worded attribution to vague authority; also exaggerates source quantity (one citation presented as 'several publications' or many 'scholars'). Caveat: 'such as' is only suspect before exhaustive-looking example lists; 'several sources/publications' only when few are actually cited.
