id	tier	scope	regex	threshold	unit	action	source_ref	notes
aiisms-2.4-transition-beat-placeholders	BANNED	narration	\bfor a (long|suspended) moment\b|\bfor a beat\b|\bafter a moment\b|\ba pause, then\b|\bwhen (he|she|they) (speaks?|spoke), (his|her|their) voice (is|was)\b|\bthe silence that follow(s|ed) (is|was)\b			Show what happens during the time instead of labeling it passing	collation:1018-1031 [AI-isms Bible 2.4]	Source also lists bare 'finally (as transition)'; tracked at WATCH via qscan-07-finally per single-word policy
aiisms-2.6-gaze-look-descriptors	WATCH	narration	\b(assessing|appraising|cataloguing|tracking|watchful|guarded|shuttered|unreadable|inscrutable|too knowing|seeing too much)\b			Specify what is actually being communicated or withheld	collation:1041-1057 [AI-isms Bible 2.6]	Common single words; flag clusters in gaze/look context, not isolated literal uses (e.g. tracking a package)
aiisms-2.13-breaking-cracking	BANNED	narration	\bsomething cracked open\b|\bsplit (him|her|them|me) open\b|\bbroke something loose\b|\bshattered something (he|she|they) didn'?t know was fragile\b|\bfractured the moment\b|\bhairline fractures?\b|\bfault lines?\b|\bcracks in the foundation\b			Differentiate the type of emotional change; name what actually changed	collation:1067-1081 [AI-isms Bible 2.13]	Literal geological/structural fault lines or cracks exempt by judgment
aiisms-2.13-breaking-cracking-watch	WATCH	narration	\bsplinter(s|ed|ing)?\b			Differentiate the type of emotional change	collation:1067-1081 [AI-isms Bible 2.13]	Bare single word from same list; literal wood splintering exempt
aiisms-2.16-sound-silence	BANNED	narration	\bthe words fell into silence\b|\bswallowed by the quiet\b|\bthe silence swallowed\b|\bdeafening silence\b|\bsilence roared\b|\bthe quiet pressed in\b|\b(hangs|hung|hanging) in the air\b			Show silence's effect on characters instead of anthropomorphizing it	collation:1091-1103 [AI-isms Bible 2.16]	'hung in the air' also flagged by LLM-outputs catalog (collation:73); literal objects hanging in the air exempt by judgment
aiisms-2.21-space-presence	BANNED	narration	\bcommanded the room\b|\bfilled the space\b|\bsucked the air out of the room\b|\bdominated the space\b|\bpresence that demanded attention\b|\bimpossible to ignore\b			Show what the character does that creates the impression	collation:1113-1126 [AI-isms Bible 2.21]	
aiisms-2.21-space-presence-watch	WATCH	narration	\b(gravity|magnetic)\b			Show what the character does that creates the impression	collation:1113-1126 [AI-isms Bible 2.21]	Only as charisma metaphor; literal physics uses exempt
aiisms-2.25-transition-verbs	WATCH	narration	\b(shifted|settled|flickered|softened|hardened|sharpened|gentled|eased|tightened|loosened)\b			Show the change itself, not that something changed	collation:1136-1151 [AI-isms Bible 2.25]	Common verbs; problem is density/repetition, not single use
aiisms-2.26-faux-edgy-banter	BANNED	dialogue	\byou'?re (such a menace|impossible|trouble|the worst|insufferable|ridiculous|going to be the death of me)\b|\byou love it\b			Write chemistry grounded in the specific dynamic, not fandom banter tropes	collation:1161-1174 [AI-isms Bible 2.26]	Includes the '[says something] / You love it' exchange pattern
tells-2.1-jaw-face	BANNED	narration	\bjaw (tightens|tightened|clenches|clenched|sets|locks|locked|works|worked|ticks|ticked)\b|\bmuscle (jumps|jumped|ticks|ticked) in (his|her|their) jaw\b|\bteeth (grind|ground|grinding)\b			Replace reflexive tell with character-specific interiority or consequence	collation:1283-1288 [AI-isms Bible 2.1 Jaw/Face]	Verb-form variants derived from source's listed forms; 'jaw set' bare past covered by qscan-01-jaw density row
tells-2.1-jaw-face-watch	WATCH	narration	\b(jaw|teeth)\b			Replace with character-specific tell	collation:1283-1288 [AI-isms Bible 2.1 Jaw/Face]	Bare body-part density row; normal anatomical mentions fine in isolation
